"cvss3_score","Architecture","Version","cve","detection_time","Title","condition","external_references","updated","cvss2_score","severity","published","Name"
7.8,"x64","2016","CVE-2020-1582","2023-09-07T21:58:46+00:00","CVE-2020-1582 affects Access version 2016","Version match","[""https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-1582"",""https://nvd.nist.gov/vuln/detail/CVE-2020-1582""]","2021-07-21",6.8,"High","2020-08-17","Access version 2016"
8.8,"x64","2016","CVE-2020-0760","2023-09-07T21:58:46+00:00","CVE-2020-0760 affects Access version 2016","Version match","[""https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2020-0760"",""https://nvd.nist.gov/vuln/detail/CVE-2020-0760""]","2021-07-21",6.8,"High","2020-04-15","Access version 2016"
0,"x64","2016","CVE-2015-2503","2023-09-07T21:58:46+00:00","CVE-2015-2503 affects Access version 2016","Version match","[""http://www.securitytracker.com/id/1034122"",""http://www.securitytracker.com/id/1034119"",""http://www.securitytracker.com/id/1034117"",""https://docs.microsoft.com/en-us/security-updates/securitybulletins/2015/ms15-116"",""https://nvd.nist.gov/vuln/detail/CVE-2015-2503""]","2018-10-12",9.3,"High","2015-11-11","Access version 2016"
7.8,"x64","2016","CVE-2018-8312","2023-09-07T21:58:46+00:00","CVE-2018-8312 affects Access version 2016","Version match","[""https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-8312"",""http://www.securitytracker.com/id/1041254"",""http://www.securityfocus.com/bid/104645"",""https://nvd.nist.gov/vuln/detail/CVE-2018-8312""]","2020-08-24",9.3,"High","2018-07-11","Access version 2016"
7.8,"x64","2016","CVE-2018-0903","2023-09-07T21:58:46+00:00","CVE-2018-0903 affects Access version 2016","Version match","[""https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2018-0903"",""http://www.securitytracker.com/id/1040503"",""http://www.securityfocus.com/bid/103315"",""https://nvd.nist.gov/vuln/detail/CVE-2018-0903""]","2020-08-24",6.8,"High","2018-03-14","Access version 2016"
7.5,"x86","1.40.4","CVE-2021-41277","2023-08-10T05:36:48+00:00","CVE-2021-41277 affects Metabase version 1.40.4","Version match","[""https://github.com/metabase/metabase/commit/042a36e49574c749f944e19cf80360fd3dc322f0"",""https://github.com/metabase/metabase/security/advisories/GHSA-w73v-6p7p-fpfr"",""https://nvd.nist.gov/vuln/detail/CVE-2021-41277""]","2023-07-17",5,"High","2021-11-17","Metabase version 1.40.4"
9.6,"x86","1.40.4","CVE-2023-32680","2023-08-10T05:36:48+00:00","CVE-2023-32680 affects Metabase version 1.40.4","greater than or equal 1.0.0 and less than 1.44.7","[""https://github.com/metabase/metabase/pull/30852"",""https://github.com/metabase/metabase/security/advisories/GHSA-mw6j-f894-4qxv"",""https://github.com/metabase/metabase/pull/30853"",""https://github.com/metabase/metabase/pull/30854"",""https://nvd.nist.gov/vuln/detail/CVE-2023-32680""]","2023-05-26",0,"Critical","2023-05-18","Metabase version 1.40.4"
6.3,"x86","1.40.4","CVE-2023-23629","2023-08-10T05:36:48+00:00","CVE-2023-23629 affects Metabase version 1.40.4","greater than or equal 1.0.0 and less than 1.43.7.1","[""https://github.com/metabase/metabase/security/advisories/GHSA-ch8f-hhq9-7gv5"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23629""]","2023-02-07",0,"Medium","2023-01-28","Metabase version 1.40.4"
4.1,"x86","1.40.4","CVE-2023-23628","2023-08-10T05:36:48+00:00","CVE-2023-23628 affects Metabase version 1.40.4","greater than or equal 1.0.0 and less than 1.43.7.1","[""https://github.com/metabase/metabase/security/advisories/GHSA-492f-qxr3-9rrv"",""https://nvd.nist.gov/vuln/detail/CVE-2023-23628""]","2023-02-06",0,"Medium","2023-01-28","Metabase version 1.40.4"
5.4,"x86","1.40.4","CVE-2022-24855","2023-08-10T05:36:48+00:00","CVE-2022-24855 affects Metabase version 1.40.4","greater than or equal 1.40.0 and less than 1.40.8","[""https://github.com/metabase/metabase/security/advisories/GHSA-wjw6-wm9w-7ggr"",""https://github.com/metabase/metabase/releases/tag/v0.42.4"",""https://nvd.nist.gov/vuln/detail/CVE-2022-24855""]","2022-04-22",3.5,"Medium","2022-04-14","Metabase version 1.40.4"
